id,model,field,answer_place,result
194,google/gemini-2.0-flash-001,Finances publiques,1,true
194,google/gemini-2.0-flash-001,Finances publiques,2,true
194,google/gemini-2.0-flash-001,Finances publiques,0,true
194,google/gemini-2.0-flash-001,Finances publiques,0,true
194,google/gemini-2.0-flash-001,Finances publiques,2,true
194,google/gemini-2.0-flash-001,Finances publiques,1,true
461,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
461,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
461,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
461,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
461,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
461,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
574,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
574,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
574,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
574,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
574,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
574,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
705,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
705,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
705,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
705,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
705,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
705,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
416,google/gemini-2.0-flash-001,Finances publiques,1,true
416,google/gemini-2.0-flash-001,Finances publiques,2,true
416,google/gemini-2.0-flash-001,Finances publiques,0,true
416,google/gemini-2.0-flash-001,Finances publiques,0,true
416,google/gemini-2.0-flash-001,Finances publiques,2,true
416,google/gemini-2.0-flash-001,Finances publiques,1,true
131,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
131,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
131,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
131,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
131,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
131,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
752,google/gemini-2.0-flash-001,Finances publiques,0,false
752,google/gemini-2.0-flash-001,Finances publiques,0,false
752,google/gemini-2.0-flash-001,Finances publiques,1,false
752,google/gemini-2.0-flash-001,Finances publiques,2,true
752,google/gemini-2.0-flash-001,Finances publiques,1,false
752,google/gemini-2.0-flash-001,Finances publiques,2,true
615,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
615,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
615,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
615,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
615,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
615,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
514,google/gemini-2.0-flash-001,Finances publiques,1,false
514,google/gemini-2.0-flash-001,Finances publiques,2,false
514,google/gemini-2.0-flash-001,Finances publiques,0,false
514,google/gemini-2.0-flash-001,Finances publiques,0,false
514,google/gemini-2.0-flash-001,Finances publiques,2,false
514,google/gemini-2.0-flash-001,Finances publiques,1,false
900,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
900,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
900,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
900,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
900,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
900,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
298,google/gemini-2.0-flash-001,Finances publiques,2,true
298,google/gemini-2.0-flash-001,Finances publiques,1,true
298,google/gemini-2.0-flash-001,Finances publiques,2,true
298,google/gemini-2.0-flash-001,Finances publiques,1,true
298,google/gemini-2.0-flash-001,Finances publiques,0,true
298,google/gemini-2.0-flash-001,Finances publiques,0,true
356,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
356,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
356,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
356,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
356,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
356,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
285,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
285,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
285,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
285,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
285,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
285,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
761,google/gemini-2.0-flash-001,Finances publiques,0,false
761,google/gemini-2.0-flash-001,Finances publiques,0,false
761,google/gemini-2.0-flash-001,Finances publiques,1,false
761,google/gemini-2.0-flash-001,Finances publiques,2,false
761,google/gemini-2.0-flash-001,Finances publiques,1,false
761,google/gemini-2.0-flash-001,Finances publiques,2,false
783,google/gemini-2.0-flash-001,Finances publiques,2,false
783,google/gemini-2.0-flash-001,Finances publiques,1,true
783,google/gemini-2.0-flash-001,Finances publiques,2,false
783,google/gemini-2.0-flash-001,Finances publiques,1,false
783,google/gemini-2.0-flash-001,Finances publiques,0,true
783,google/gemini-2.0-flash-001,Finances publiques,0,true
101,google/gemini-2.0-flash-001,Culture numérique,0,true
101,google/gemini-2.0-flash-001,Culture numérique,0,true
101,google/gemini-2.0-flash-001,Culture numérique,1,true
101,google/gemini-2.0-flash-001,Culture numérique,2,true
101,google/gemini-2.0-flash-001,Culture numérique,1,true
101,google/gemini-2.0-flash-001,Culture numérique,2,true
136,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
136,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
